slice_a,slice_b,jaccard
A:f2:gpt5,A:f2:opus47,0.5706806282722513
A:f2:gpt5,A:fmqm:gemini,0.24481327800829875
A:f2:gpt5,A:fmqm:gpt5,0.19760479041916168
A:f2:gpt5,B:low_human:pooled,0.24481327800829875
A:f2:gpt5,C:f2:pooled,0.171875
A:f2:gpt5,C:fmqm:pooled,0.07142857142857142
A:f2:opus47,A:fmqm:gemini,0.20967741935483872
A:f2:opus47,A:fmqm:gpt5,0.1695906432748538
A:f2:opus47,B:low_human:pooled,0.21951219512195122
A:f2:opus47,C:f2:pooled,0.22699386503067484
A:f2:opus47,C:fmqm:pooled,0.06951871657754011
A:fmqm:gemini,A:fmqm:gpt5,0.3856812933025404
A:fmqm:gemini,B:low_human:pooled,0.3986013986013986
A:fmqm:gemini,C:f2:pooled,0.008403361344537815
A:fmqm:gemini,C:fmqm:pooled,0.22448979591836735
A:fmqm:gpt5,B:low_human:pooled,0.279317697228145
A:fmqm:gpt5,C:f2:pooled,0.008403361344537815
A:fmqm:gpt5,C:fmqm:pooled,0.30718954248366015
B:low_human:pooled,C:f2:pooled,0.0033444816053511705
B:low_human:pooled,C:fmqm:pooled,0.15163147792706333
C:f2:pooled,C:fmqm:pooled,0.005025125628140704
