pair,calque,collocation,discourse_marker,false_friend,idiom_literal,none,register_mismatch
EN→ar_EG,0.43567251461988304,0.049707602339181284,0.008771929824561403,0.04678362573099415,0.14035087719298245,0.02631578947368421,0.29239766081871343
EN→bho_IN,0.59375,0.020833333333333332,0.010416666666666666,0.034722222222222224,0.09722222222222222,0.006944444444444444,0.2361111111111111
EN→cs_CZ,0.5098684210526315,0.2236842105263158,0.006578947368421052,0.0625,0.05263157894736842,0.01644736842105263,0.12828947368421054
EN→et_EE,0.5833333333333334,0.1736111111111111,0.003472222222222222,0.08333333333333333,0.0798611111111111,0.003472222222222222,0.07291666666666667
EN→is_IS,0.5119047619047619,0.14682539682539683,0.003968253968253968,0.20238095238095238,0.08333333333333333,0.0,0.051587301587301584
EN→ja_JP,0.3506944444444444,0.13194444444444445,0.017361111111111112,0.059027777777777776,0.08680555555555555,0.017361111111111112,0.3368055555555556
EN→mas_KE,0.369281045751634,0.0196078431372549,0.03594771241830065,0.0915032679738562,0.058823529411764705,0.0392156862745098,0.38562091503267976
EN→ru_RU,0.4236111111111111,0.17708333333333334,0.010416666666666666,0.04513888888888889,0.0798611111111111,0.07291666666666667,0.1909722222222222
EN→sr_Cyrl_RS,0.5294117647058824,0.08823529411764706,0.013071895424836602,0.09803921568627451,0.12418300653594772,0.026143790849673203,0.12091503267973856
EN→uk_UA,0.5233918128654971,0.16666666666666666,0.03508771929824561,0.043859649122807015,0.08771929824561403,0.029239766081871343,0.11403508771929824
EN→zh_CN,0.4148148148148148,0.10740740740740741,0.014814814814814815,0.07037037037037037,0.14074074074074075,0.05925925925925926,0.1925925925925926
