quintile,metric,tau,n
Q1(worst),fluency2,-0.06907517914569605,658
Q1(worst),gemba_score,-0.020534580775264575,658
Q1(worst),metricx_score,-0.1736272344021605,658
Q1(worst),xcomet_score,-0.01859537959401803,658
Q1(worst),cometKiwi_score,-0.09175870354581923,658
Q1(worst),chrf_pp,0.16580022760962365,658
Q2,fluency2,0.2097015613491249,673
Q2,gemba_score,0.19486684108739236,673
Q2,metricx_score,0.19620263791235992,673
Q2,xcomet_score,0.05847074864242701,673
Q2,cometKiwi_score,0.0794216153512329,673
Q2,chrf_pp,0.018820160602392718,673
Q3,fluency2,0.08141107319870733,640
Q3,gemba_score,0.06155697198484838,640
Q3,metricx_score,0.06255494457072554,640
Q3,xcomet_score,0.02079844672778867,640
Q3,cometKiwi_score,0.017107595270099554,640
Q3,chrf_pp,0.0882070092719917,640
Q4,fluency2,0.053514965465002555,659
Q4,gemba_score,0.10324130177331514,659
Q4,metricx_score,0.10945463302591746,659
Q4,xcomet_score,0.0599959480246139,659
Q4,cometKiwi_score,0.07229891458156004,659
Q4,chrf_pp,-0.03664309483781798,659
Q5(best),fluency2,0.09820376913908369,644
Q5(best),gemba_score,0.04212869107975082,644
Q5(best),metricx_score,0.09483772642245802,644
Q5(best),xcomet_score,0.024989368793993653,644
Q5(best),cometKiwi_score,0.048405351385687086,644
Q5(best),chrf_pp,-0.08081250262671567,644
