bucket,metric,spearman,mae_z,n
6-15,fluency2,0.6790298775427129,0.7890424940414767,144
6-15,gemba_score,0.7016993484853614,0.494728062933535,144
6-15,metricx_score,0.5415858068576866,0.5426152505676083,144
6-15,xcomet_score,0.5943485464136294,0.5240353949761473,144
6-15,cometKiwi_score,0.5433568962801842,0.5119667896772858,144
6-15,chrf_pp,0.577961763438492,0.7029505328195895,144
16-30,fluency2,0.4662874774746886,0.8547561401336077,109
16-30,gemba_score,0.1914813785860088,1.021435579900148,109
16-30,metricx_score,0.20592406704770627,1.043942353416812,109
16-30,xcomet_score,0.31173195675760845,0.9562927448230399,109
16-30,cometKiwi_score,0.14598836511553592,1.0486087374094757,109
16-30,chrf_pp,0.42818434294002006,0.851195333505318,109
31+,fluency2,0.609854120258979,0.7761155645705904,3021
31+,gemba_score,0.5610808713171439,0.6469776855643997,3021
31+,metricx_score,0.5170856710969061,0.6750642200808107,3021
31+,xcomet_score,0.3639539869433294,0.892933354619566,3021
31+,cometKiwi_score,0.3126327392899403,0.8093578703643606,3021
31+,chrf_pp,0.27029857204470187,0.951326768997355,3021
