pair,chrf_pp,cometKiwi_score,fluency2,gemba_score,metricx_score,xcomet_score
EN→mas_KE,0.5514681562603359,0.4988791297636985,0.5870787549152916,0.6964462901032671,0.5280952555951637,0.5020028664878174
EN→ja_JP,0.5141648632697225,0.5679470784969506,0.6152616565020657,0.6334349793429077,0.5976539445209522,0.5978752705095416
EN→zh_CN,0.5386130257420172,0.5810381206920805,0.6206780137853425,0.613954142636095,0.6101280067520045,0.6001406667604445
EN→uk_UA,0.4787060576838783,0.5982466906285614,0.6469886911545543,0.6274217585692996,0.6123432979749277,0.6260541772595775
EN→ru_RU,0.5286706786046284,0.5892166935760067,0.6625568765595186,0.609716718039043,0.6299965751749107,0.6421791672782425
EN→cs_CZ,0.5772373797284829,0.5869909054962436,0.6873819252229691,0.6359342735380695,0.6330565440885726,0.5831685778304996
EN→ar_EG,0.7271663372516384,0.2688806824092375,0.6961666493290336,0.6744252574638511,0.36323208155622594,0.38013627379590137
EN→bho_IN,0.6299604878886789,0.5270817483495718,0.7097945861044985,0.6404152452941321,0.614131101676197,0.4644513706530542
EN→et_EE,0.6045813817330211,0.6013124512099922,0.7282884465261514,0.6826941842310694,0.6101922326307572,0.6373682669789227
EN→sr_Cyrl_RS,0.676935125962668,0.6390593047034765,0.7294739590131837,0.6948396640995519,0.6162815994430666,0.6257233607448984
EN→is_IS,0.6712376710149539,0.675119312758511,0.8008272351256761,0.7750238625517022,0.7023226216990137,0.6672287623289851
