pair,subdim,spearman,n
EN→ar_EG,idiomatic,0.4697316187555115,342
EN→ar_EG,collocational,0.2931157553553779,342
EN→ar_EG,discourse,0.3688398808433956,342
EN→ar_EG,pragmatic,0.48645344772564936,342
EN→ar_EG,calque,0.3665778889854602,342
EN→bho_IN,idiomatic,0.6138378307492224,288
EN→bho_IN,collocational,0.5526015759933409,288
EN→bho_IN,discourse,0.5582565805953008,288
EN→bho_IN,pragmatic,0.5529882884511563,288
EN→bho_IN,calque,0.49211145367391407,288
EN→cs_CZ,idiomatic,0.5128005003922013,304
EN→cs_CZ,collocational,0.4634145751474265,304
EN→cs_CZ,discourse,0.5319285868252736,304
EN→cs_CZ,pragmatic,0.5202140959577635,304
EN→cs_CZ,calque,0.44095741508032266,304
EN→et_EE,idiomatic,0.6370894928970181,288
EN→et_EE,collocational,0.6043081837449025,288
EN→et_EE,discourse,0.5770256308525803,288
EN→et_EE,pragmatic,0.5675211762771494,288
EN→et_EE,calque,0.5419040464892144,288
EN→is_IS,idiomatic,0.7939098497988317,252
EN→is_IS,collocational,0.7760137484181857,252
EN→is_IS,discourse,0.7821379242684059,252
EN→is_IS,pragmatic,0.7688941526735843,252
EN→is_IS,calque,0.7352055456243234,252
EN→ja_JP,idiomatic,0.32083290282869137,288
EN→ja_JP,collocational,0.31411434400549354,288
EN→ja_JP,discourse,0.2927395932398995,288
EN→ja_JP,pragmatic,0.3101130808353564,288
EN→ja_JP,calque,0.29883366260368605,288
EN→mas_KE,idiomatic,0.13892730930433425,306
EN→mas_KE,collocational,0.11293848649742275,306
EN→mas_KE,discourse,0.1525837736431101,306
EN→mas_KE,pragmatic,0.150298693742671,306
EN→mas_KE,calque,0.2902440307557857,306
EN→ru_RU,idiomatic,0.4756993432265263,288
EN→ru_RU,collocational,0.4021684955542327,288
EN→ru_RU,discourse,0.5225998710826555,288
EN→ru_RU,pragmatic,0.5116850306413726,288
EN→ru_RU,calque,0.37439588894426856,288
EN→sr_Cyrl_RS,idiomatic,0.6219669578372778,306
EN→sr_Cyrl_RS,collocational,0.6016175097293288,306
EN→sr_Cyrl_RS,discourse,0.6094232555217803,306
EN→sr_Cyrl_RS,pragmatic,0.6254238123408612,306
EN→sr_Cyrl_RS,calque,0.5753060926096012,306
EN→uk_UA,idiomatic,0.4043979753777042,342
EN→uk_UA,collocational,0.42142557400735464,342
EN→uk_UA,discourse,0.32449057449136137,342
EN→uk_UA,pragmatic,0.3198089328206886,342
EN→uk_UA,calque,0.39525287178586704,342
EN→zh_CN,idiomatic,0.3314931279637173,270
EN→zh_CN,collocational,0.33270949400027394,270
EN→zh_CN,discourse,0.3620134713962656,270
EN→zh_CN,pragmatic,0.3426384962254077,270
EN→zh_CN,calque,0.3137457645233878,270
