pair,calque,collocational,discourse,idiomatic,pragmatic
EN→ar_EG,0.3665778889854602,0.2931157553553779,0.3688398808433956,0.4697316187555115,0.48645344772564936
EN→bho_IN,0.49211145367391407,0.5526015759933409,0.5582565805953008,0.6138378307492224,0.5529882884511563
EN→cs_CZ,0.44095741508032266,0.4634145751474265,0.5319285868252736,0.5128005003922013,0.5202140959577635
EN→et_EE,0.5419040464892144,0.6043081837449025,0.5770256308525803,0.6370894928970181,0.5675211762771494
EN→is_IS,0.7352055456243234,0.7760137484181857,0.7821379242684059,0.7939098497988317,0.7688941526735843
EN→ja_JP,0.29883366260368605,0.31411434400549354,0.2927395932398995,0.32083290282869137,0.3101130808353564
EN→mas_KE,0.2902440307557857,0.11293848649742275,0.1525837736431101,0.13892730930433425,0.150298693742671
EN→ru_RU,0.37439588894426856,0.4021684955542327,0.5225998710826555,0.4756993432265263,0.5116850306413726
EN→sr_Cyrl_RS,0.5753060926096012,0.6016175097293288,0.6094232555217803,0.6219669578372778,0.6254238123408612
EN→uk_UA,0.39525287178586704,0.42142557400735464,0.32449057449136137,0.4043979753777042,0.3198089328206886
EN→zh_CN,0.3137457645233878,0.33270949400027394,0.3620134713962656,0.3314931279637173,0.3426384962254077
