lp,metric,pairwise_accuracy,n_pairs
EN-ar_EG,fluency2_raw,0.6126126126126126,2331
EN-ar_EG,fluency3_,0.6153846153846154,2288
EN-ar_EG,chrf,0.6054191363251482,2362
EN-ar_EG,bleu,0.5536244171259008,2359
EN-ar_EG,comet,0.5422943221320974,1726
EN-bho_IN,fluency2_raw,0.46196833281589567,3221
EN-bho_IN,fluency3_,0.46163601775523144,3154
EN-bho_IN,chrf,0.47816728167281675,3252
EN-bho_IN,bleu,0.4956896551724138,3248
EN-bho_IN,comet,0.5130830489192264,2637
EN-cs_CZ,fluency2_raw,0.5087719298245614,3591
EN-cs_CZ,fluency3_,0.5050651230101303,3455
EN-cs_CZ,chrf,0.4872287833012909,3641
EN-cs_CZ,bleu,0.49173098125689085,3628
EN-cs_CZ,comet,0.5069672131147541,2440
EN-et_EE,fluency2_raw,0.4135995009357455,3206
EN-et_EE,fluency3_,0.41081081081081083,3145
EN-et_EE,chrf,0.47493887530562345,3272
EN-et_EE,bleu,0.5021393643031785,3272
EN-et_EE,comet,0.4394057857701329,2558
EN-is_IS,fluency2_raw,0.38005390835579517,2968
EN-is_IS,fluency3_,0.3737830319888734,2876
EN-is_IS,chrf,0.3963515754560531,3015
EN-is_IS,bleu,0.3973333333333333,3000
EN-is_IS,comet,0.37358490566037733,2385
EN-it_IT,fluency2_raw,0.46078431372549017,2448
EN-it_IT,fluency3_,0.46499567847882456,2314
EN-it_IT,chrf,,0
EN-it_IT,bleu,,0
EN-it_IT,comet,0.46010797840431916,1667
EN-ja_JP,fluency2_raw,0.5136173184357542,2864
EN-ja_JP,fluency3_,0.5163492633848366,2783
EN-ja_JP,chrf,0.48608725523874957,2911
EN-ja_JP,bleu,0.4262295081967213,122
EN-ja_JP,comet,0.4901840490797546,1630
EN-mas_KE,fluency2_raw,0.5887955182072829,1785
EN-mas_KE,fluency3_,0.5990538143110585,1691
EN-mas_KE,chrf,0.4785751161590088,1937
EN-mas_KE,bleu,0.4750271444082519,1842
EN-mas_KE,comet,0.524818401937046,1652
EN-ru_RU,fluency2_raw,0.41761363636363635,3168
EN-ru_RU,fluency3_,0.4147465437788018,3038
EN-ru_RU,chrf,0.46507237256135936,3178
EN-ru_RU,bleu,0.4854306756324047,3123
EN-ru_RU,comet,0.43233895373973197,2313
EN-sr_Cyrl_RS,fluency2_raw,0.45838548185231537,3196
EN-sr_Cyrl_RS,fluency3_,0.45282413350449296,3116
EN-sr_Cyrl_RS,chrf,0.445305237062287,3227
EN-sr_Cyrl_RS,bleu,0.4517845961177207,3194
EN-sr_Cyrl_RS,comet,0.4603716344330679,2637
EN-uk_UA,fluency2_raw,0.4538165490699166,3118
EN-uk_UA,fluency3_,0.4507563025210084,2975
EN-uk_UA,chrf,0.5524739993696817,3173
EN-uk_UA,bleu,0.5367160416010085,3173
EN-uk_UA,comet,0.48066037735849054,2120
EN-zh_CN,fluency2_raw,0.4848291280740977,3131
EN-zh_CN,fluency3_,0.48738922972051807,2934
EN-zh_CN,chrf,0.4687112763320942,3228
EN-zh_CN,bleu,0.42857142857142855,791
EN-zh_CN,comet,0.45799180327868855,1952
